step,episode,reward,length
1078471,812,-19.000000,1623
1080896,813,-12.000000,2425
1083307,814,-10.000000,2411
1085691,815,-13.000000,2384
1088201,816,-13.000000,2510
1090852,817,-9.000000,2651
1093580,818,-12.000000,2728
1096104,819,-10.000000,2524
1099411,820,-7.000000,3307
1102099,821,-8.000000,2688
1104939,822,-13.000000,2840
1107422,823,-12.000000,2483
1110055,824,-11.000000,2633
1112980,825,-11.000000,2925
1115656,826,-11.000000,2676
1117904,827,-13.000000,2248
1120393,828,-15.000000,2489
1123095,829,-11.000000,2702
1126622,830,-3.000000,3527
1129780,831,-10.000000,3158
1132396,832,-10.000000,2616
1135664,833,-8.000000,3268
1137771,834,-17.000000,2107
1141173,835,-8.000000,3402
1143804,836,-15.000000,2631
1146580,837,-13.000000,2776
1149856,838,-6.000000,3276
1152575,839,-9.000000,2719
1155875,840,-8.000000,3300
1158725,841,-9.000000,2850
1161462,842,-12.000000,2737
1164523,843,-6.000000,3061
1167015,844,-11.000000,2492
1170316,845,-6.000000,3301
1173385,846,-8.000000,3069
1176815,847,-9.000000,3430
1179834,848,-10.000000,3019
1183263,849,-8.000000,3429
1187141,850,-3.000000,3878
1190020,851,-10.000000,2879
1192732,852,-11.000000,2712
1195017,853,-17.000000,2285
1196661,854,-20.000000,1644
1199339,855,-13.000000,2678
1202416,856,-8.000000,3077
1205941,857,-5.000000,3525
1209406,858,-5.000000,3465
1211602,859,-14.000000,2196
1213849,860,-16.000000,2247
1216077,861,-14.000000,2228
1219790,862,-2.000000,3713
1222478,863,-12.000000,2688
1224636,864,-14.000000,2158
1227603,865,-5.000000,2967
1230170,866,-12.000000,2567
1233774,867,-2.000000,3604
1235921,868,-18.000000,2147
1238946,869,-9.000000,3025
1241473,870,-13.000000,2527
1243595,871,-13.000000,2122
1245468,872,-18.000000,1873
1248197,873,-12.000000,2729
1250142,874,-18.000000,1945
1253546,875,-4.000000,3404
1256072,876,-13.000000,2526
1259099,877,-7.000000,3027
1262264,878,2.000000,3165
1264887,879,-6.000000,2623
1267703,880,-6.000000,2816
1270787,881,-4.000000,3084
1274129,882,3.000000,3342
1277490,883,-5.000000,3361
1279374,884,-19.000000,1884
1282092,885,-7.000000,2718
1284604,886,-12.000000,2512
1287778,887,-4.000000,3174
1291170,888,-4.000000,3392
1294746,889,-3.000000,3576
1297502,890,-8.000000,2756
1301009,891,-8.000000,3507
1304454,892,-2.000000,3445
1307517,893,-5.000000,3063
1310332,894,-9.000000,2815
1313234,895,-8.000000,2902
1315998,896,-8.000000,2764
1318219,897,-15.000000,2221
1320843,898,-14.000000,2624
1323899,899,-8.000000,3056
1327282,900,-2.000000,3383
1329767,901,-10.000000,2485
1332279,902,-12.000000,2512
1335171,903,-9.000000,2892
1338426,904,-5.000000,3255
1340822,905,-11.000000,2396
1343674,906,-7.000000,2852
1346313,907,-12.000000,2639
1348892,908,-13.000000,2579
1352628,909,-6.000000,3736
1356066,910,-7.000000,3438
1359206,911,-5.000000,3140
1361989,912,-6.000000,2783
1364859,913,-8.000000,2870
1367963,914,-8.000000,3104
1370778,915,-7.000000,2815
1373802,916,-9.000000,3024
1377008,917,-9.000000,3206
1380402,918,-9.000000,3394
1383584,919,-2.000000,3182
1386059,920,-13.000000,2475
1389514,921,4.000000,3455
1392265,922,-12.000000,2751
1395436,923,-11.000000,3171
1398606,924,-10.000000,3170
1400692,925,-15.000000,2086
1403510,926,-11.000000,2818
1406438,927,-5.000000,2928
1409585,928,2.000000,3147
1412411,929,-7.000000,2826
1415414,930,-3.000000,3003
1418174,931,-8.000000,2760
1421229,932,-4.000000,3055
1424490,933,-7.000000,3261
1427378,934,-10.000000,2888
1429896,935,-14.000000,2518
1432715,936,-6.000000,2819
1435380,937,-11.000000,2665
1438072,938,-12.000000,2692
1440961,939,-4.000000,2889
1444000,940,-9.000000,3039
1446859,941,-8.000000,2859
1449512,942,-15.000000,2653
1452450,943,-15.000000,2938
1455304,944,-7.000000,2854
1458384,945,-15.000000,3080
1461246,946,-10.000000,2862
1463707,947,-10.000000,2461
1466223,948,-11.000000,2516
1469216,949,-7.000000,2993
1472900,950,-5.000000,3684
1475101,951,-14.000000,2201
1478528,952,-3.000000,3427
1482031,953,-4.000000,3503
1484796,954,-12.000000,2765
1487852,955,-9.000000,3056
1489900,956,-15.000000,2048
1492944,957,-1.000000,3044
1496481,958,-4.000000,3537
1500238,959,1.000000,3757
1503765,960,-8.000000,3527
1506761,961,-12.000000,2996
1509498,962,-17.000000,2737
1512426,963,-15.000000,2928
1516217,964,-7.000000,3791
1519145,965,-9.000000,2928
1521721,966,-14.000000,2576
1524076,967,-20.000000,2355
1527395,968,-3.000000,3319
1530236,969,-13.000000,2841
1533085,970,-12.000000,2849
1536255,971,-4.000000,3170
1540436,972,-3.000000,4181
1545137,973,-4.000000,4701
1548309,974,-10.000000,3172
1551834,975,-3.000000,3525
1555866,976,-4.000000,4032
1559007,977,-15.000000,3141
1562090,978,-7.000000,3083
1565591,979,-3.000000,3501
1568649,980,-7.000000,3058
1572121,981,-2.000000,3472
1575513,982,-8.000000,3392
1579147,983,-3.000000,3634
1581838,984,-11.000000,2691
1584994,985,-13.000000,3156
1588556,986,2.000000,3562
1590662,987,-14.000000,2106
1593886,988,-9.000000,3224
1596848,989,-5.000000,2962
1600050,990,-3.000000,3202
1602622,991,-12.000000,2572
1605137,992,-13.000000,2515
1608694,993,-4.000000,3557
1612197,994,-8.000000,3503
1615288,995,-6.000000,3091
1617852,996,-13.000000,2564
1621185,997,-2.000000,3333
1624910,998,-1.000000,3725
1627596,999,-8.000000,2686
1630977,1000,-2.000000,3381
1634460,1001,-3.000000,3483
1637362,1002,-5.000000,2902
1640568,1003,2.000000,3206
